Edge ID,From Junction,To Junction,From Cluster,To Cluster,From Lat,From Lon,To Lat,To Lon
384154666#0,3874441462,cluster_280806246_4806960017,1,5,41.10104961115002,16.864520474084117,41.10109503106187,16.863177613694585
384154670,cluster_279660683_339000466_3874441496,3874441492,0,5,41.10129504851723,16.860800760733753,41.10120683909549,16.861788995770024
448630413#2,cluster_279660399_4456255423,cluster_11827956859_279380856_7159052502_7159052503_#3more,4,0,41.1015946123911,16.858057080901776,41.101420469737356,16.85932035201869
448630413#7,cluster_279660683_339000466_3874441496,1784654335,0,5,41.10129504851723,16.860800760733753,41.10115748015822,16.861783314603077
448630413#9,cluster_280806246_4806960017,cluster_279659516_279659957_280886105_4456253193,5,1,41.10109503106187,16.863177613694585,41.10103894328588,16.864762137276607
48563892,281595780,281595790,0,3,41.096077738108924,16.85711333011326,41.09637808525434,16.856859483256468
48563893#1,1425219115,1425219157,3,0,41.096569662936915,16.856943942031105,41.096680848741705,16.857411087974004
49195712,624106162,1081381968,5,1,41.10180505541959,16.866361844774776,41.1018241674843,16.86673879368494
50077961,635931888,1425219115,0,3,41.09645833579982,16.857144771062487,41.096569662936915,16.856943942031105
50308672#10,11386062350,2625108800,2,1,41.10266115156818,16.873749529674736,41.100847999935084,16.873852183479286
50308672#13,639177827,2625108875,1,2,41.10090774135911,16.874974396037643,41.100995885353434,16.8761383815806
50367907#4,cluster_279659516_279659957_280886105_4456253193,4806960018,1,5,41.10103894328588,16.864762137276607,41.10115926847077,16.863182287596594
50367907#8,1784654232,cluster_279660683_339000466_3874441496,5,0,41.10125146820991,16.86179752027168,41.10129504851723,16.860800760733753
51035150,650731836,650731841,5,1,41.10186587755954,16.86611588346236,41.10159216904543,16.866414402404615
559456668,5395858338,1425279701,4,3,41.112216568559546,16.848740215970498,41.10212098795253,16.849557273781752
559495122,7430958608,7430958610,4,3,41.103012627527114,16.852438574025896,41.10207566988899,16.852506071608552
559495124#3,1425194975,cluster_5433899519_5433899520_9602691567_9602691569_#2more,3,4,41.101441377623026,16.854117587723326,41.102628560292345,16.853966294905007
563916532#8,9602691564,cluster_9602691561_9602691562,4,3,41.102621262047634,16.85385451141836,41.101767630918054,16.853943861601405
564714795#0,11957804724,5440189644,0,1,41.098930228915535,16.864449681984166,41.098997994900685,16.864453385047955
577223386#3,280806249,cluster_280804206_280886093_317934029_5440189628_#2more,0,1,41.10023025479429,16.86309243769674,41.10014236943361,16.86469937977113
583986080,1610796097,5582797967,0,3,41.09312735542773,16.855978648500773,41.092403367344055,16.854953504089934
583986082,1300730072,1610796097,3,0,41.09331846638719,16.855846153569416,41.09312735542773,16.855978648500773
766515018#1,7159052504,cluster_11827956859_279380856_7159052502_7159052503_#3more,4,0,41.10156919400042,16.859347530023584,41.101420469737356,16.85932035201869
766515019#2,cluster_11827956859_279380856_7159052502_7159052503_#3more,7159052504,0,4,41.101420469737356,16.85932035201869,41.10156919400042,16.859347530023584
87270541#1,cluster_11910759840_1483768303_279660968_339220011,339492598,4,5,41.10344680290414,16.85955328740241,41.102498290143565,16.860899276440428
96606441#1,279655400,cluster_279654628_279655596,5,4,41.10949006583287,16.860629422625397,41.10861969806343,16.860137530469675
968705518#4,339021179,279659145,1,5,41.10198200090773,16.867143012444878,41.102348756336035,16.86705575811887
